ID,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,big5_1,big5_2,big5_3,big5_4,big5_5,big5_6,big5_7,big5_8,big5_9,big5_10,q_gender,GEN,q_age,ARE,q_MAR,q_CHI,crt_bat,crt_widget,crt_lake,crt_bat01,crt_bat_int,crt_widget01,crt_widget_int,crt_lake01,crt_lake_int,crt_correct,crt_intuitive,crt_1st,crt_2nd,crt_3rd,crt_sup
qh4rx4cj,5,5,2,5,2,4,4,2,5,3,1,3,1,5,2,3,4,5,1,4,3,1,2,3,7,4,5,7,1,7,6,7,4,7,male,40s,47,Chubu,Married,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,2,2,1,4
tp7mlkhl,4,4,3,4,2,3,2,2,4,2,3,4,2,4,3,4,4,4,3,3,3,2,3,2,6,5,2,5,5,3,3,6,3,4,male,30s,31,Kanto,Married,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,3,2,4
2otpzxlx,3,2,3,3,3,3,2,3,4,3,3,4,2,2,3,3,4,4,2,3,2,2,3,3,3,4,4,6,2,5,6,2,5,6,male,30s,38,Tohoku,NotMarried,NoChild,10,20,24,0,Intuitive,0,Other,0,Intuitive,0,2,1,1,2,1
vnmb7ybs,3,3,4,3,4,2,4,4,2,4,4,4,3,4,4,3,4,4,3,2,3,3,4,5,4,5,2,7,5,4,6,4,3,6,male,50s,50,Kyushu,Married,Child,10,5,12,0,Intuitive,1,Correct,0,Other,1,1,4,3,1,2
33pv4qv2,1,4,3,3,5,1,5,3,3,4,3,3,3,3,5,2,3,4,4,1,3,3,4,4,1,5,4,7,6,6,5,6,4,7,male,40s,40,Kinki,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,2,3,3,3
zj2p7jqk,3,2,4,3,3,2,3,3,3,2,4,3,4,4,4,2,3,3,4,2,3,4,4,4,2,4,3,5,3,5,4,5,4,5,female,20s,26,Kanto,Married,Child,5,5,24,1,Correct,1,Correct,0,Intuitive,2,1,1,1,1,1
38rboe23,3,5,1,4,2,3,2,1,5,3,2,5,1,4,4,3,5,4,1,3,2,2,3,1,2,4,5,7,5,2,4,3,2,2,male,40s,40,Hokkaido,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,3,3,2,2
ui3rtxqr,2,2,4,2,4,2,4,4,2,2,4,2,4,3,4,2,3,3,4,2,2,3,4,3,6,4,3,6,5,2,5,5,6,6,male,30s,37,Chugoku,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,3,4,3,3
dxzwtjc7,3,3,3,2,4,3,3,3,3,3,3,4,3,3,4,3,4,4,3,2,2,2,4,2,2,3,4,5,4,5,4,5,5,5,female,20s,26,Kanto,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,2,1,1,2
4eer5abd,3,3,2,3,2,3,4,3,5,3,3,4,2,3,2,4,4,5,3,3,1,2,3,2,4,5,4,7,5,5,5,4,3,4,female,30s,38,Kanto,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,2,1,3
bj5zwe2t,4,2,4,4,2,4,3,2,2,1,4,2,2,2,3,4,2,2,2,4,2,3,2,2,1,2,6,5,2,7,5,2,5,6,female,30s,36,Chubu,Married,Child,10,10,24,0,Intuitive,0,Other,0,Intuitive,0,2,3,3,3,1
38d507e9,3,5,4,3,2,2,2,3,5,4,2,2,2,4,2,2,3,2,2,2,3,4,2,3,4,2,4,5,4,5,5,6,7,7,male,30s,34,Kanto,Married,Child,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,2,1,1,2
ptue0kc2,4,2,4,4,2,4,4,2,2,2,3,3,2,4,3,4,3,4,2,3,3,2,3,2,4,4,5,4,5,4,5,3,5,3,male,60s,60,Kanto,Married,Child,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,2,2,2
zkg74yp2,3,2,4,3,3,2,5,4,3,2,4,3,3,4,4,2,3,3,3,2,3,3,4,3,2,3,3,2,4,5,6,5,4,4,male,40s,48,Kinki,NotMarried,NoChild,10,1,24,0,Intuitive,0,Other,0,Intuitive,0,2,1,1,1,3
nyu9ek4l,3,5,3,4,4,2,1,2,5,2,3,3,2,5,5,3,3,4,4,2,2,2,3,4,1,5,6,6,6,7,7,2,3,4,male,40s,44,Kanto,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,3,1,2
8nkbfln1,3,4,4,3,3,4,3,2,3,2,3,3,3,4,3,3,3,3,3,4,3,3,3,2,4,4,4,4,5,3,4,4,4,4,male,40s,40,Kanto,Married,Child,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,2,3,2,2
wfn0odfu,4,4,4,4,2,2,5,2,2,1,2,4,2,4,3,4,4,4,2,4,2,2,2,1,1,3,5,3,5,5,5,4,5,3,female,30s,39,Hokkaido,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,2,3,3,3
mqb6hjxj,3,2,4,3,4,1,3,4,4,4,3,3,3,3,4,2,3,3,3,3,2,2,2,4,4,4,3,5,4,4,4,5,4,5,male,40s,46,Kyushu,NotMarried,NoChild,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,2,2,2,3
mili4jga,4,2,5,5,1,4,4,1,1,1,5,3,4,5,4,5,2,2,5,5,5,5,2,1,1,1,5,5,5,7,7,5,7,2,female,40s,45,Kanto,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,1,1,1
9brnpie9,3,4,2,3,3,3,2,2,5,3,3,5,2,3,3,4,5,5,2,3,1,1,3,3,1,5,2,6,2,4,4,3,4,5,male,40s,49,Kanto,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,2,2
ou2kited,2,4,1,3,3,2,2,4,4,4,2,3,2,3,4,2,3,4,2,3,2,2,4,4,3,5,2,4,5,4,3,5,3,5,male,40s,48,Kanto,NotMarried,NoChild,5,100,47,1,Correct,0,Intuitive,1,Correct,2,1,3,2,3,2
9kyrrzwj,3,3,4,3,3,2,4,3,2,3,4,2,2,3,4,4,2,3,4,2,4,4,3,4,2,3,2,6,3,5,6,6,4,6,male,30s,35,Chubu,Married,Child,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,2,3,3,1
jcdfynvx,2,4,1,2,4,4,2,3,4,2,2,4,2,5,4,4,4,4,1,4,1,2,3,2,6,2,5,4,5,3,5,5,6,3,female,40s,46,Kinki,Married,Child,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,1,1,1,2
yxf925k7,3,3,1,3,2,3,5,1,2,2,3,5,4,4,2,4,3,3,3,2,3,3,3,3,3,6,4,4,6,6,5,3,3,4,male,40s,45,Shikoku,Married,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,1,1
nlmwcaz9,1,3,2,2,1,1,2,1,5,3,5,1,4,3,2,1,2,2,2,2,3,2,4,4,3,2,4,2,2,2,3,1,6,6,male,30s,37,Kanto,Married,Child,10,5,48,0,Intuitive,1,Correct,0,Other,1,1,2,2,1,2
ybdsopzi,1,4,2,3,4,2,3,4,4,4,3,3,3,2,4,2,3,4,3,2,3,3,4,4,3,4,3,6,4,4,4,5,4,7,male,40s,41,Kinki,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,3,2,2
gfi0sraf,4,4,4,4,2,4,3,3,4,2,4,5,2,4,2,4,3,3,2,2,2,2,3,4,1,1,4,1,2,1,6,2,6,6,female,50s,50,Kanto,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,1,3,3
errf0309,3,4,2,3,3,3,1,3,3,3,3,5,2,4,3,3,5,5,1,3,2,2,3,3,4,4,4,2,4,4,4,4,4,5,male,30s,36,Chubu,Married,Child,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,1,1
18iovzj9,4,3,4,5,2,3,5,3,2,3,3,5,2,5,2,3,3,2,3,4,3,3,2,3,6,4,6,4,6,4,7,4,4,6,female,40s,41,Kanto,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,3,3,3,3
aix6qxrs,4,3,3,4,2,4,3,2,3,1,3,5,2,5,2,5,4,3,2,4,2,3,2,1,6,2,7,2,7,2,6,2,6,3,female,50s,56,Chugoku,Married,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,3,2,2
1168fbix,4,5,2,4,3,2,3,2,5,2,2,4,2,3,3,4,4,4,2,3,2,3,4,4,3,2,3,6,3,5,5,5,3,6,female,50s,54,Kanto,Married,Child,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,3,2,3
g15clfw2,4,3,4,4,2,3,5,1,1,3,3,3,4,4,2,4,2,2,3,3,3,3,3,2,3,1,6,4,5,5,7,2,6,1,female,30s,35,Kinki,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,2,2,2
6gtx0ada,2,2,3,3,4,1,4,2,3,2,4,4,3,4,5,3,3,4,3,2,2,3,4,4,3,2,3,3,2,6,6,4,5,2,female,30s,36,Kanto,Married,Child,10,24,24,0,Intuitive,0,Other,0,Intuitive,0,2,4,3,1,3
knzo2r7d,4,2,5,4,4,3,4,4,2,2,5,2,4,4,2,4,2,2,4,3,3,4,2,4,6,5,4,3,6,2,5,5,4,2,male,50s,59,Tohoku,Married,Child,410,5,24,0,Other,1,Correct,0,Intuitive,1,1,2,1,2,2
298rsed6,4,3,4,3,4,2,2,3,4,3,4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,2,4,3,3,4,5,4,5,5,female,50s,52,Kyushu,Married,Child,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,4,2,1,3
wsx4cxn6,5,5,2,5,2,4,4,1,4,2,2,4,2,5,3,4,5,4,1,4,2,1,2,2,3,2,2,5,4,4,5,4,4,6,male,40s,46,Kinki,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,2,2,1,1
dh8vh169,4,4,4,4,3,3,4,2,4,2,3,5,1,4,2,4,4,3,2,3,2,2,3,4,6,3,5,2,5,4,5,2,5,3,male,30s,36,Chugoku,Married,Child,5,5,47,1,Correct,1,Correct,1,Correct,3,0,2,2,3,3
9lua4qzz,4,4,4,3,4,3,4,3,5,2,1,4,1,4,4,4,4,3,4,2,3,4,4,5,4,3,3,5,6,3,6,2,3,4,female,40s,47,Hokkaido,Married,NoChild,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,3,3,1,2
gquuk7t0,3,2,4,4,2,3,4,3,2,1,4,3,3,5,2,4,2,3,4,3,3,3,2,2,4,3,4,3,5,5,4,3,5,4,male,40s,47,Kanto,NotMarried,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,3,2,2,3
8hs2gvbr,2,2,4,2,4,2,3,3,3,2,4,2,4,4,2,4,2,1,4,4,2,3,2,2,3,3,5,5,3,5,5,5,5,5,female,40s,43,Kanto,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,1,1
fw2erbej,3,4,2,4,4,3,3,3,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,2,1,3,3,7,5,7,4,6,4,5,male,40s,44,Kanto,NotMarried,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,3,3,3,2
y5n0qsws,2,3,3,3,3,2,3,3,4,3,2,5,3,4,2,2,3,4,3,2,3,2,2,4,4,3,4,6,4,4,5,4,3,3,female,30s,36,Kanto,Married,NoChild,5,100,48,1,Correct,0,Intuitive,0,Other,1,1,4,4,1,1
50g7yrt8,4,4,3,4,2,3,4,2,3,3,3,3,2,4,2,4,3,3,3,3,3,3,2,2,5,3,5,3,4,3,5,3,6,3,male,20s,28,Kanto,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,1,3,1,2
u2e2uljd,4,4,3,3,2,2,3,4,5,4,2,4,3,5,4,4,3,4,2,2,2,2,4,2,5,2,2,5,2,5,5,3,6,6,male,30s,35,Kinki,NotMarried,NoChild,10,1,24,0,Intuitive,0,Other,0,Intuitive,0,2,3,1,1,1
vfyua12s,3,3,2,3,3,2,2,3,3,3,2,5,3,4,4,3,4,3,2,3,3,3,3,3,2,4,3,5,4,2,4,4,4,4,male,30s,39,Kanto,NotMarried,NoChild,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,2,3,3,2
6wylq2qb,3,3,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,4,4,4,4,4,3,4,4,4,4,female,30s,31,Kanto,Married,NoChild,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,2,3,2,2
ha09w0jh,3,4,4,3,2,3,4,2,3,2,4,4,3,4,3,3,2,3,4,3,3,3,3,2,4,2,5,4,5,4,4,3,4,4,female,40s,40,Kanto,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,2,2,1,2
qjq4725v,3,2,1,3,3,3,3,3,5,3,1,5,1,5,3,3,5,5,1,3,1,1,3,3,1,4,4,7,4,7,7,4,4,4,male,50s,56,Kyushu,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,1,3,1,1
g82rypmj,3,2,4,3,3,4,3,2,2,1,2,4,3,5,2,4,3,4,4,5,2,3,2,2,6,4,7,3,6,2,7,2,3,4,male,40s,46,Tohoku,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,2,2,3
qjgrnif4,3,2,2,1,2,3,2,3,3,3,3,3,3,1,3,3,3,4,3,1,2,3,3,3,4,5,4,3,3,4,4,4,5,5,male,30s,36,Kyushu,NotMarried,NoChild,300,120,50,0,Other,0,Other,0,Other,0,0,1,2,2,2
baylmynw,3,3,3,3,3,1,3,3,5,3,3,3,3,3,5,3,3,3,3,1,3,3,5,3,4,4,4,4,4,4,4,4,4,7,male,40s,43,Kanto,Married,Child,5,5,47,1,Correct,1,Correct,1,Correct,3,0,2,3,4,3
lw3gn43d,2,2,3,3,3,4,3,3,4,1,3,3,2,5,3,4,3,3,3,4,3,3,3,1,1,4,1,6,4,4,3,6,2,4,female,30s,33,Kinki,NotMarried,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,2,2,2,2
4f4upjfk,4,3,4,5,2,4,4,2,2,1,2,4,2,4,2,4,4,3,2,4,2,2,2,1,3,5,6,2,5,5,5,2,5,1,male,30s,39,Kanto,Married,Child,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,3,2,3
c2ngrv3e,3,4,4,3,3,4,3,2,4,3,3,3,3,4,3,4,2,3,3,4,3,3,3,3,3,5,5,5,5,6,6,4,5,5,female,30s,34,Kanto,NotMarried,NoChild,10,100,96,0,Intuitive,0,Intuitive,0,Other,0,2,2,2,1,2
095pd887,4,5,4,4,3,1,2,3,1,4,2,1,4,4,5,2,1,3,3,1,2,1,4,5,1,2,1,5,5,7,3,5,1,6,female,20s,29,Chubu,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,4,1,3
cjfmcya8,1,4,4,1,5,1,4,5,2,4,4,2,4,1,5,1,2,4,4,1,2,4,4,5,2,1,1,5,1,5,5,5,5,7,male,20s,21,Chubu,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,1,1,1,1
zafx2h4y,2,5,3,2,3,2,4,4,4,4,1,5,2,5,4,2,5,5,3,1,1,1,5,5,4,5,3,6,5,6,5,2,4,6,male,40s,47,Chugoku,NotMarried,NoChild,10,1,24,0,Intuitive,0,Other,0,Intuitive,0,2,3,1,1,2
oqzz419h,4,2,3,4,3,1,3,2,2,3,2,4,2,4,4,3,4,4,3,2,3,3,3,3,3,4,3,2,5,4,4,6,5,3,female,40s,40,Kanto,Married,Child,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,3,2,3
dhct40tr,3,4,3,4,4,2,2,4,4,3,4,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,4,5,5,5,5,5,5,4,female,40s,47,Kyushu,Married,Child,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,3,3,2,3
x1csvs8u,2,2,2,4,3,3,3,3,2,4,2,4,3,2,3,4,3,2,3,2,3,1,4,2,6,2,2,2,4,3,4,5,3,4,female,20s,23,Kyushu,NotMarried,NoChild,10,500,24,0,Intuitive,0,Other,0,Intuitive,0,2,2,2,3,1
ms2exyk0,2,3,2,2,4,1,1,3,5,3,2,3,3,3,5,3,3,4,3,1,2,2,4,3,1,3,4,7,2,4,3,5,4,7,male,50s,52,Kanto,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,3,3,3,3
nkcoja70,4,2,3,4,2,4,4,2,2,1,4,1,2,4,2,5,2,3,3,4,4,3,2,1,3,2,5,5,4,6,7,2,5,5,male,40s,44,Chubu,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,2,3,3,3
h4zbfitz,2,4,2,4,4,3,2,2,5,2,4,2,4,4,2,4,2,4,4,4,2,2,2,2,1,5,3,5,2,7,5,5,1,5,female,30s,37,Chubu,NotMarried,NoChild,10,20,24,0,Intuitive,0,Other,0,Intuitive,0,2,2,1,3,1
ujs3htol,4,3,2,4,1,4,4,2,3,2,3,4,2,5,2,4,4,3,2,4,3,3,2,2,2,2,5,3,5,4,4,2,6,4,male,40s,44,Kanto,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,2,1,2,3
zxnhmqif,4,4,2,4,2,4,4,2,4,1,2,4,2,5,2,5,5,4,2,4,2,2,2,2,3,2,4,3,5,4,4,3,5,4,male,30s,38,Kyushu,Married,Child,5,5,47,1,Correct,1,Correct,1,Correct,3,0,2,1,1,2
3iqinscm,2,3,3,2,3,2,3,3,3,3,3,2,3,4,4,2,3,3,3,2,3,3,4,5,2,4,3,6,4,4,4,4,4,6,female,40s,42,Chubu,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,2,2,2,3
nt6zd1rw,3,5,3,4,3,2,4,2,4,3,3,5,2,4,4,3,5,4,3,3,3,3,3,3,4,3,4,4,4,3,5,2,5,6,male,30s,33,Kanto,NotMarried,NoChild,10,20,24,0,Intuitive,0,Other,0,Intuitive,0,2,2,3,3,1
cimq2onj,4,4,2,4,1,4,1,1,5,1,2,5,2,5,2,4,5,4,3,4,2,3,2,1,5,2,6,5,7,2,5,2,6,3,male,50s,57,Kanto,Married,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,3,2,2,3
qu9br19t,4,4,4,4,2,2,1,2,5,1,2,4,2,3,5,3,4,4,2,3,1,2,3,1,2,2,4,7,4,6,4,6,2,7,male,30s,35,Kanto,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,3,3,2
acoetody,3,2,4,4,2,2,4,4,2,2,4,5,4,5,4,4,1,2,4,3,3,4,2,1,5,2,3,5,5,2,4,5,5,3,male,40s,48,Kanto,Married,Child,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,3,2,3
v4clbfxr,4,3,2,4,2,2,2,2,4,3,3,2,2,4,3,4,3,3,3,2,2,2,3,3,2,3,3,5,6,4,5,6,3,4,male,40s,47,Chubu,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,1,1,2,3
1t7apn0e,2,3,4,4,3,2,3,2,4,2,3,3,4,3,4,3,3,4,4,2,1,3,4,3,1,7,2,7,2,3,3,7,2,5,male,40s,44,Kinki,NotMarried,NoChild,10,5,24,0,Intuitive,1,Correct,0,Intuitive,1,2,3,3,3,2
s6b2ixrr,4,4,4,3,3,3,4,4,2,2,4,4,4,4,3,3,3,3,4,2,3,3,3,3,2,2,3,4,3,3,3,4,3,6,female,50s,56,Kinki,Married,Child,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,2,2,1,2
nrk2nq4q,3,4,3,4,3,3,4,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,6,3,4,4,5,3,5,male,40s,41,Kinki,NotMarried,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,3,3,2,2
2q4w1sb9,4,3,4,4,4,2,2,2,5,1,4,5,2,5,3,4,2,2,4,4,3,2,2,1,3,6,5,6,4,2,5,7,3,7,female,30s,31,Chubu,Married,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,4,4,2,4
6ng31cpr,4,3,2,4,2,3,2,3,3,4,3,2,2,3,3,4,3,3,3,3,3,3,3,3,4,3,5,4,4,3,4,5,4,4,male,30s,30,Kanto,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,2,1,1
qga8e0c0,3,5,3,3,4,3,3,3,4,3,3,5,3,5,4,4,5,5,3,3,1,1,4,4,3,3,2,6,7,5,4,5,3,7,male,30s,32,Chubu,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,3,3,2,1
tgslirj8,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,4,5,4,4,4,4,4,male,40s,44,Kanto,NotMarried,Child,10,25,12,0,Intuitive,0,Other,0,Other,0,1,1,1,1,1
jww6zd09,2,2,3,2,3,3,4,3,3,2,4,3,2,3,3,4,3,4,3,3,4,2,3,3,3,3,3,4,4,4,5,4,3,5,male,50s,54,Kinki,Married,Child,10,5,12,0,Intuitive,1,Correct,0,Other,1,1,3,3,2,2
4jm6hnkp,3,3,4,2,4,2,3,4,4,3,3,4,3,3,4,2,3,4,3,1,3,3,4,4,3,3,2,5,4,5,5,5,3,5,male,40s,43,Kyushu,Married,Child,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,3,3,3,3
jstenmgt,3,2,4,3,4,1,3,2,2,1,4,4,4,2,5,2,2,2,4,1,3,3,4,2,2,1,4,3,2,6,6,1,4,3,male,50s,57,Kanto,Married,Child,5,5,47,1,Correct,1,Correct,1,Correct,3,0,3,1,1,3
zx8ivhoj,2,4,1,2,4,2,4,4,4,5,4,5,2,3,4,1,5,5,2,2,1,1,4,5,2,3,3,6,1,6,6,6,4,6,male,50s,55,Chubu,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,1,3
v4rsuw8n,4,4,4,5,1,3,3,1,3,1,4,4,3,5,3,5,3,4,3,5,2,3,3,1,3,3,4,5,3,5,4,3,5,2,male,40s,44,Kanto,NotMarried,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,1,3,3,3
jjtq50b3,4,4,2,4,4,1,2,2,5,4,2,4,2,2,5,1,4,5,2,2,3,2,4,4,2,5,2,7,3,5,2,5,5,5,male,50s,51,Kinki,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,2,1,3
33h45ysf,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,4,3,4,3,5,4,4,4,4,4,male,20s,22,Chubu,NotMarried,NoChild,10,100,47,0,Intuitive,0,Intuitive,1,Correct,1,2,2,2,2,2
